12:04:51.648704|CRITICAL|            Ptr:13  |=======================================================
12:04:51.648891|CRITICAL|            Ptr:13  |Log started on Wed Jun 20 12:04:51 2012, log level=DEBUG
12:04:51.648952|CRITICAL|            Ptr:13  |-------------------------------------------------------
12:04:51.649121|   DEBUG|            Ptr:137 |byte is \000 (0x00)
12:04:51.649259|   DEBUG|            Ptr:137 |byte is \000 (0x00)
12:04:51.649401|   DEBUG|            Ptr:137 |byte is \002 (0x02)
12:04:51.649552|   DEBUG|            Ptr:137 |byte is \032 (0x1a)
12:04:51.649683|   DEBUG|            Ptr:137 |byte is \027 (0x17)
12:04:51.649814|   DEBUG|            Ptr:137 |byte is \340 (0xe0)
12:04:51.649944|   DEBUG|            Ptr:137 |byte is \047 (0x27)
12:04:51.650074|   DEBUG|            Ptr:137 |byte is \277 (0xbf)
12:04:51.650204|   DEBUG|            Ptr:137 |byte is \077 (0x3f)
12:04:51.650334|   DEBUG|            Ptr:137 |byte is \360 (0xf0)
12:04:51.650464|   DEBUG|            Ptr:137 |byte is \204 (0x84)
12:04:51.650594|   DEBUG|            Ptr:137 |byte is \001 (0x01)
12:04:51.650724|   DEBUG|            Ptr:137 |byte is \027 (0x17)
12:04:51.650853|   DEBUG|            Ptr:137 |byte is \303 (0xc3)
12:04:51.650983|   DEBUG|            Ptr:137 |byte is \200 (0x80)
12:04:51.651114|   DEBUG|            Ptr:137 |byte is \006 (0x06)
12:04:51.651243|   DEBUG|            Ptr:137 |byte is \047 (0x27)
12:04:51.651373|   DEBUG|            Ptr:137 |byte is \377 (0xff)
12:04:51.651503|   DEBUG|            Ptr:137 |byte is \077 (0x3f)
12:04:51.651633|   DEBUG|            Ptr:137 |byte is \350 (0xe8)
12:04:51.651762|   DEBUG|            Ptr:137 |byte is \047 (0x27)
12:04:51.651893|   DEBUG|            Ptr:137 |byte is \376 (0xfe)
12:04:51.652022|   DEBUG|            Ptr:137 |byte is \177 (0x7f)
12:04:51.652153|   DEBUG|            Ptr:137 |byte is \330 (0xd8)
12:04:51.652283|   DEBUG|            Ptr:137 |byte is \027 (0x17)
12:04:51.652413|   DEBUG|            Ptr:137 |byte is \315 (0xcd)
12:04:51.652542|   DEBUG|            Ptr:137 |byte is \000 (0x00)
12:04:51.652785|   DEBUG|            Ptr:137 |byte is \000 (0x00)
12:04:51.652928|   DEBUG|            Ptr:137 |byte is \077 (0x3f)
12:04:51.653059|   DEBUG|            Ptr:137 |byte is \350 (0xe8)
12:04:51.653190|   DEBUG|            Ptr:137 |byte is \247 (0xa7)
12:04:51.653320|   DEBUG|            Ptr:137 |byte is \376 (0xfe)
12:04:51.653450|   DEBUG|            Ptr:137 |byte is \077 (0x3f)
12:04:51.653580|   DEBUG|            Ptr:137 |byte is \331 (0xd9)
12:04:51.653710|   DEBUG|            Ptr:137 |byte is \067 (0x37)
12:04:51.653840|   DEBUG|            Ptr:137 |byte is \376 (0xfe)
12:04:51.653970|   DEBUG|            Ptr:137 |byte is \067 (0x37)
12:04:51.654099|   DEBUG|            Ptr:137 |byte is \377 (0xff)
12:04:51.654229|   DEBUG|            Ptr:137 |byte is \027 (0x17)
12:04:51.654359|   DEBUG|            Ptr:137 |byte is \315 (0xcd)
12:04:51.654489|   DEBUG|            Ptr:137 |byte is \077 (0x3f)
12:04:51.654619|   DEBUG|            Ptr:137 |byte is \350 (0xe8)
12:04:51.654748|   DEBUG|            Ptr:137 |byte is \167 (0x77)
12:04:51.654879|   DEBUG|            Ptr:137 |byte is \277 (0xbf)
12:04:51.655009|   DEBUG|            Ptr:137 |byte is \204 (0x84)
12:04:51.655139|   DEBUG|            Ptr:137 |byte is \001 (0x01)
12:04:51.655269|   DEBUG|            Ptr:137 |byte is \027 (0x17)
12:04:51.655399|   DEBUG|            Ptr:137 |byte is \346 (0xe6)
12:04:51.655529|   DEBUG|            Ptr:137 |byte is \000 (0x00)
12:04:51.655659|   DEBUG|            Ptr:137 |byte is \000 (0x00)
12:04:51.655789|   DEBUG|            Ptr:137 |byte is \377 (0xff)
12:04:51.655919|   DEBUG|            Ptr:137 |byte is \377 (0xff)
