11:18:42.579002|CRITICAL|            Ptr:103 |=======================================================
11:18:42.579180|CRITICAL|            Ptr:103 |Log started on Tue Jul  3 11:18:42 2012, log level=DEBUG
11:18:42.579242|CRITICAL|            Ptr:103 |-------------------------------------------------------
11:18:42.579439|   DEBUG|            Ptr:117 |byte is \000 (0x00)
11:18:42.579654|   DEBUG|            Ptr:117 |byte is \000 (0x00)
11:18:42.579975|   DEBUG|            Ptr:117 |byte is \002 (0x02)
11:18:42.580193|   DEBUG|            Ptr:117 |byte is \032 (0x1a)
11:18:42.580402|   DEBUG|            Ptr:117 |byte is \027 (0x17)
11:18:42.580611|   DEBUG|            Ptr:117 |byte is \340 (0xe0)
11:18:42.580820|   DEBUG|            Ptr:117 |byte is \047 (0x27)
11:18:42.581028|   DEBUG|            Ptr:117 |byte is \277 (0xbf)
11:18:42.581237|   DEBUG|            Ptr:117 |byte is \077 (0x3f)
11:18:42.581446|   DEBUG|            Ptr:117 |byte is \360 (0xf0)
11:18:42.581654|   DEBUG|            Ptr:117 |byte is \204 (0x84)
11:18:42.581863|   DEBUG|            Ptr:117 |byte is \001 (0x01)
11:18:42.582071|   DEBUG|            Ptr:117 |byte is \027 (0x17)
11:18:42.582280|   DEBUG|            Ptr:117 |byte is \303 (0xc3)
11:18:42.582489|   DEBUG|            Ptr:117 |byte is \200 (0x80)
11:18:42.582698|   DEBUG|            Ptr:117 |byte is \006 (0x06)
11:18:42.582907|   DEBUG|            Ptr:117 |byte is \047 (0x27)
11:18:42.583116|   DEBUG|            Ptr:117 |byte is \377 (0xff)
11:18:42.583444|   DEBUG|            Ptr:117 |byte is \077 (0x3f)
11:18:42.583658|   DEBUG|            Ptr:117 |byte is \350 (0xe8)
11:18:42.583867|   DEBUG|            Ptr:117 |byte is \047 (0x27)
11:18:42.584076|   DEBUG|            Ptr:117 |byte is \376 (0xfe)
11:18:42.584284|   DEBUG|            Ptr:117 |byte is \177 (0x7f)
11:18:42.584493|   DEBUG|            Ptr:117 |byte is \330 (0xd8)
11:18:42.584701|   DEBUG|            Ptr:117 |byte is \027 (0x17)
11:18:42.585020|   DEBUG|            Ptr:117 |byte is \315 (0xcd)
11:18:42.585246|   DEBUG|            Ptr:117 |byte is \000 (0x00)
11:18:42.585457|   DEBUG|            Ptr:117 |byte is \000 (0x00)
11:18:42.585666|   DEBUG|            Ptr:117 |byte is \077 (0x3f)
11:18:42.585875|   DEBUG|            Ptr:117 |byte is \350 (0xe8)
11:18:42.586084|   DEBUG|            Ptr:117 |byte is \247 (0xa7)
11:18:42.586292|   DEBUG|            Ptr:117 |byte is \376 (0xfe)
11:18:42.586501|   DEBUG|            Ptr:117 |byte is \077 (0x3f)
11:18:42.586827|   DEBUG|            Ptr:117 |byte is \331 (0xd9)
11:18:42.587038|   DEBUG|            Ptr:117 |byte is \067 (0x37)
11:18:42.587247|   DEBUG|            Ptr:117 |byte is \376 (0xfe)
11:18:42.587455|   DEBUG|            Ptr:117 |byte is \067 (0x37)
11:18:42.587664|   DEBUG|            Ptr:117 |byte is \377 (0xff)
11:18:42.587872|   DEBUG|            Ptr:117 |byte is \027 (0x17)
11:18:42.588081|   DEBUG|            Ptr:117 |byte is \315 (0xcd)
11:18:42.588289|   DEBUG|            Ptr:117 |byte is \077 (0x3f)
